,comments
139,NOSTALGIA TO THE MAX LEVEL OMG
140,In this song the way Bruno is dressed he looks like a young Michael Jackson.
141,"as soon as this song come on, no matter if you like country, rock, classical or pop, EVERYONE GON BE VIBIN"
142,Canta demais o Bruno mars
143,9 years later and I’m still jamming to this 
144,"This song was made in one of my favorite years, and is still one of my favorite songs."
145,In 2024 partying like its 2015!! Almost a decade later and still an awesome tune!
146,Mark Ronson spends most of this video straight chillin
147,I'm loving this partnership between these guys and Bruno Mars.  what a tune 
148,I know right! Bruno Mars is amazing.he should be more famous but I wish he came out with more songs.
149,This song makes me overjoyed of happiness I love it
150,te amo muito!!
151,
152,"Producer: Do you need autotune?
Bruno Mars: No
Producer: you sure?
Bruno Mars: Don't believe me just watch"
153,Absolutely timeless masterpiece ( Bruno Mars Number One today )
154,"It's been 9 years, i still love this song so bad. I'm playing this while I'm cleaning the house"
155,"Dayum guys! Just a couple of years back this was at 2B views and now it's 5B+ isn't this crazy for a 9 year old song!! 
Kudos to the OG Bruno Mars"
156,I can't stop listening this song . This song touched my heart
157,this music is timeless!
158,I was a fan before but when i listend to this masterpiece I'm A whole airconditioner now...
159,It's weird how sometimes we appreciate songs more in later years than when they were first released.this is one of those song
160,10 years later and this song still hits different. Truly a masterpiece.
161,
162,This song is really a masterpiece 
163,hola esta buen la canción :)
164,Has anyone else noticed that the 90's are coming back?
165,Good mood song
166,me gusta esta musica la estaba buscando
167,Who's here listening in 2024?
168,I love him so much 
169,This is a perfect  song for new years 
170,"even tho Bruno gave a godly voice to the song, we should appreciate Mark for writing those fire lyrics."
171,Até hoje aqui
172,"Bruno:Ok I’m singing the entire song. But it’s going to be your song

Mark: What am I going to do then?"
173,You slayed it!
174,"everyone is talking about bruno mars, and yes he’s very good on this track, but mark ronson is truly one of the best producers of our generation. he brings out the best in the artists he works with"
175,"Que voz tan privilegiada, no por nada dicen que es el hijo de Michael Jackson"
176,I love how Mark Ronson is just there Vibin and Just shaking his head. LOL
177,top demais
178,"After 9 years, is still a masterpiece."
179,AMAZING DANCING omg I'm blown away i loved this
